id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2ROJOb98GorxStuOuZWcGd,Have You Ever Loved A Woman?,Derek & The Dominos,61,1970-11-01,0.303,0.648,0,-6.795,1,0.642,0.053,0.407,0.644,170.379,412960,3
2Qj1FilGsXITZbFVmVeoLy,I'm Tore Down,Freddie King,57,1971,0.64,0.496,2,-11.124,1,0.616,4.63e-05,0.183,0.954,116.632,253333,4
2FtX5tOFUVOyjcGQiuGR8f,"Damn Right, I've Got the Blues",Buddy Guy,57,1991,0.353,0.921,2,-5.64,1,0.0488,0.065,0.314,0.526,145.589,271653,3
6f3OYG5R630tjwFIHIE7j2,Scratch My Back,The Fabulous Thunderbirds,56,1979,0.775,0.499,4,-7.181,1,0.496,0.0219,0.114,0.862,121.056,232707,4
4VCl2a5JvdrEx6PL2P29ty,The Thrill Is Gone,B.B. King,0,2014-12-08,0.554,0.516,9,-6.819,0,0.224,0.286,0.0548,0.562,90.309,324267,4
0RYe9pP6Fa3jzEh1n0RZou,Help Me,Sonny Boy Williamson II,41,1993-01-01,0.723,0.357,5,-12.587,0,0.68,0.24,0.606,0.804,114.078,188240,4
58PSYdY0GFg0LFb2PxYk4T,Mannish Boy,Muddy Waters,65,1977,0.598,0.735,2,-10.882,1,0.44,0.000215,0.681,0.615,111.129,321133,3
0RTjFVHvqjTdpX2NawwyXI,Stumble,Freddie King,54,1969,0.678,0.612,4,-9.764,1,0.101,0.318,0.164,0.857,118.381,216627,4
1ekio2Gk6WycLArAUJZfxM,Albert's Shuffle,Mike Bloomfield,51,1984,0.303,0.492,0,-10.716,1,0.197,0.63,0.288,0.677,200.018,414960,3
2hv2NiSq8p4pgL28pxcqAJ,Trouble No More,Allman Brothers Band,53,1969-11-04,0.556,0.567,9,-11.426,0,0.0581,0.00143,0.0907,0.858,141.345,227751,4
2bIfM0ZOF4gxK1BeqH3Djm,Why I Sing The Blues,B.B. King,56,1969-01-01,0.792,0.495,0,-11.603,1,0.239,0.00175,0.074,0.719,118.066,517400,4
21qlCjNYLq9jPRR15v4Jyo,Hound Dog,Big Mama Thornton,0,1989,0.552,0.542,9,-10.862,1,0.704,3.59e-05,0.355,0.784,133.313,181000,4
5MTsZG10E0hTvAkdioyPnw,Feels Like Rain (feat. Bonnie Raitt),Bonnie Raitt,58,1993-03-01,0.572,0.348,0,-13.454,1,0.44,0.000721,0.235,0.34,73.304,275267,4
5oyKFxTeInGiLn7MVTqmMR,Boogie Chillen,John Lee Hooker,0,2009-06-19,0.678,0.272,4,-10.415,1,0.858,0.0236,0.109,0.378,149.128,189507,4
7sheAObhEOIqDY8YFu3HJf,"Cold, Cold Feeling",Albert Collins,0,1978,0.796,0.149,3,-17.885,0,0.163,0.0114,0.081,0.433,73.953,319360,3
0h06YSqzwbAU9ZDuIvw8pk,Love Me Like a Man - 2008 Remaster,Bonnie Raitt,56,1972,0.595,0.525,11,-11.582,0,0.3,3.15e-05,0.197,0.826,124.569,192200,4
2PcbVKT28p9mOlWBDL371J,I Can't Quit You Baby,Willie Dixon,52,1947,0.469,0.236,7,-16.981,1,0.407,0.0434,0.215,0.415,82.232,399173,4
5x7Oxaa9EEIx9nw17CC5yW,Chains And Things,B.B. King,59,1970-01-01,0.56,0.241,4,-15.385,0,0.593,0.195,0.122,0.341,79.537,293733,4
2wnjZXcAT3rCjjqxLeHjv7,Going Down,Freddie King,62,1971,0.565,0.526,0,-11.352,1,0.0339,0.000119,0.11,0.637,167.936,204333,4
3FVpPBl3Jbd5TRLUFZamO9,Stone Crazy,Buddy Guy,0,1986-01-01,0.526,0.467,2,-11.641,1,0.803,9.68e-05,0.206,0.604,87.155,434693,3
2N3ppRkdOeZ75RwEqSz7nu,Call It Stormy Monday (But Tuesday Is Just As Bad),T-Bone Walker,0,1995,0.655,0.134,0,-15.836,1,0.853,0.0568,0.0412,0.444,68.525,183027,4
1BtXmDNtpBY71E8hLzTYpG,"Do Right Woman, Do Right Man",Etta James,0,1968-08-21,0.439,0.413,2,-6.755,1,0.649,4.47e-06,0.12,0.464,144.162,181307,3
7pzDaHQx6WFWtdx9PLPxcx,Double Trouble,Otis Rush,51,1956,0.566,0.424,7,-8.689,0,0.669,0.00456,0.175,0.431,105.768,163440,1
2Mr1bGI2E10K7Mt1UJZ6Mw,Boom Boom,John Lee Hooker,63,1962-01-01,0.441,0.455,10,-14.207,1,0.62,0.00187,0.135,0.918,160.9,152351,4
1HRx7dciQYCv76XvbBDAGM,T-Bone Shuffle,Albert Collins,51,1997-09-09,0.537,0.695,11,-9.88,1,0.00393,0.188,0.084,0.77,131.307,295693,4
3E0VKSvZp76kvBU2WwwBul,Leaving Trunk,Taj Mahal,58,1968,0.542,0.502,3,-10.607,0,0.195,0.00812,0.174,0.948,174.11,289560,4
3W5Hyy46oXDZQtRnTv6Lsh,Two Bugs And A Roach,Earl Hooker,0,1990,0.541,0.568,9,-12.584,1,0.651,0.00563,0.1,0.815,135.275,259760,4
3Gq3uFAdJltar4ddwboPby,Little Red Rooster,Willie Dixon,51,1947,0.584,0.278,4,-18.566,1,0.55,0.21,0.255,0.75,81.712,215027,4
1cRTAPP2FG9h2WiYMOIVIK,The Sky Is Crying,Elmore James,54,2001-04-03,0.294,0.611,2,-6.268,1,0.0226,0.435,0.114,0.567,178.191,166400,3
4Gia17DzXBhYFbYiJj6SyW,Working Man,Otis Rush,54,2005-02-08,0.633,0.625,0,-10.951,1,0.492,0.000418,0.204,0.841,103.355,147800,4
3gg0xEc2b4eEbYySLmfFU1,Mean Old World,T-Bone Walker,53,2005-03-29,0.73,0.235,0,-15.276,1,0.527,0.0112,0.0663,0.624,87.226,247373,4
7rea8oiI7zkZI5dbigK06f,Black Magic Woman - 2018 Remaster,Fleetwood Mac,0,1969-08-15,0.457,0.412,7,-11.138,0,0.0516,4.35e-05,0.275,0.44,129.423,172693,4
1cXc92MX9kFjMrrDsvdf9w,Wang Dang Doodle,Koko Taylor,53,1987-01-01,0.648,0.544,1,-8.963,1,0.343,2.93e-06,0.087,0.619,153.063,182827,4
1TRIYxcVJYPki5AX2hZzZT,Bad News Is Coming,Luther Allison,54,2001-01-01,0.639,0.496,1,-6.844,0,0.713,0.254,0.0545,0.467,140.394,445533,3
2Cg3GUkhjX96nO4p2WRlIa,She's A Sweet One,Junior Wells,52,1957,0.705,0.483,1,-12.209,1,0.15,0.0265,0.202,0.713,122.863,181786,4
65VzqBb5ogD2xIFD8jetMG,Got My Mojo Working,Muddy Waters,51,1997-05-20,0.519,0.779,4,-9.159,1,0.573,8.13e-05,0.286,0.888,113.487,173040,4
1sxtxIKhRiQwuGpUwHoEHq,Crossroads - Live,Cream,52,1995-03-07,0.378,0.756,7,-11.073,1,0.436,0.0351,0.867,0.838,131.577,255600,4
4KMXlzvtC8xjLseDqDjpeU,My Babe,Little Walter,59,1993-06-08,0.676,0.334,5,-10.572,1,0.862,0.0,0.32,0.867,158.0,162040,4
31GIhpOQpKCzlnuPn03pBQ,Junker's Blues,Champion Jack Dupree,54,1958,0.779,0.155,5,-21.57,1,0.856,7.82e-06,0.0974,0.696,103.251,192707,4
1a2iF9XymafjRk56q7oCxo,Pride and Joy,Stevie Ray Vaughan,67,1983,0.427,0.626,8,-11.821,1,0.0274,0.00395,0.106,0.743,126.877,219587,4
71zy5nvPveBvRVhR5IduJW,Somebody Loan Me A Dime,Fenton Robinson,0,1974,0.668,0.583,3,-8.889,1,0.468,3.62e-05,0.337,0.818,118.655,179693,3
0tYJ6uY0ETQOtOM8KySMSp,Mean Mistreater,Johnny Winter,49,1969,0.554,0.49,9,-8.725,1,0.736,0.00728,0.327,0.578,67.591,232453,4
6LNgMe8d3Y8xxzJWFqpcRN,All Your Love - Stereo Album Version,John Mayall & The Bluesbreakers,0,1966-07-22,0.369,0.523,2,-9.144,0,0.291,0.00351,0.294,0.843,121.435,216200,4
50y6y3iwBlKKev2U4a6GK5,Let The Good Times Roll,Louis Jordan & His Tympany Five,48,1975-01-01,0.705,0.401,9,-9.506,0,0.812,0.0,0.319,0.649,104.956,167227,4
35ydSuNJn9z4eTjhWp2xUJ,Smokestack Lightnin',Howlin' Wolf,0,1958-01-01,0.669,0.334,9,-16.205,0,0.83,9.61e-05,0.289,0.592,146.178,188400,4
61K6lqGyrl2Aerk0LjAZem,Rollin' Stone,Muddy Waters,54,1989-11-07,0.629,0.0192,4,-19.952,1,0.989,4.3e-05,0.106,0.335,169.254,188160,4
227N0C668UQBiN3T4HFzoQ,Blue Monday Hangover - Remastered,Albert Collins,49,2021-06-18,0.397,0.684,0,-5.843,1,0.0742,0.0293,0.0689,0.72,180.523,334400,3
5MVMARaMoclifNmBtPu0dD,Love Struck Baby,Stevie Ray Vaughan,54,1983,0.548,0.874,8,-10.147,1,0.279,0.0463,0.173,0.966,172.129,141933,4
7p5Xpx7dd9wSPJF4Q4Nfbu,Part Time Love,Clarence Carter,50,1968,0.686,0.593,0,-10.078,1,0.468,2.19e-05,0.352,0.946,92.82,159707,4
1kPBT8S2wJFNAyBMnGVZgL,I'd Rather Go Blind,Etta James,72,1968-04-18,0.477,0.433,11,-6.473,0,0.689,0.000195,0.151,0.611,82.52,156653,3
57W5o6ojTFtydDMZ0mDDB3,Juke,Little Walter,52,1993-06-08,0.566,0.657,4,-10.33,1,0.751,0.896,0.156,0.643,145.359,164893,4
3YGsgJqtIWKjMjZtKLk11Z,Be Careful With a Fool,Johnny Winter,56,1969,0.294,0.736,7,-7.961,0,0.282,0.0418,0.102,0.753,208.576,314880,3
1f9FEeBWZkuT4ItJZwsJ2l,Don't Start Me To Talkin',Sonny Boy Williamson II,39,1959,0.582,0.75,7,-11.206,1,0.54,8.25e-06,0.337,0.686,114.104,156893,4
0WvSYVnEXD7QLa5pDJ920S,Crosscut Saw - Mono Mix,Albert King,52,1967-01-01,0.84,0.412,1,-14.23,1,0.0217,0.784,0.041,0.963,122.807,156398,4
73GEVn1tqk9bn0KbtWsiqj,All Your Love,Magic Sam,51,2001,0.433,0.7,11,-8.197,1,0.843,0.324,0.102,0.8,80.623,176186,4
51tJjIf9azRnA6om4BcfNm,I'm A Man,Bo Diddley,0,1957,0.609,0.538,3,-15.646,1,0.294,0.0,0.19,0.881,85.106,164547,4
2r6Ve8kNEzqg3u45UL0muX,Big Chief - Remastered,Professor Longhair,51,1980,0.56,0.73,1,-5.69,1,0.219,0.144,0.179,0.963,151.594,194667,4
512gC8sU5PxZAFrskHEfzk,Little Angel Child,Jimmy Dawkins,49,1998-01-01,0.5,0.638,2,-7.262,1,0.125,0.0285,0.199,0.746,122.621,239267,4
01noJYGB8kT65mi8Pc2Ola,I'm A Woman - Remastered,Koko Taylor,48,2021-06-18,0.489,0.747,10,-8.295,1,0.0655,9.82e-05,0.0422,0.626,109.799,274440,3
1bMCiGzKRJwmYkxtSBsTSM,You Don't Want Me,Earl Hooker,0,1990,0.592,0.464,7,-16.925,1,0.509,0.000214,0.166,0.764,112.986,316667,4
36ccrof5DFicLrejE4hEye,Walking By Myself,Jimmy Rogers,50,1976-02-03,0.621,0.519,11,-13.328,0,0.837,0.00246,0.162,0.775,117.005,167267,4
2uDIGXUD5hLdM7wzyl1PaR,I'm A King Bee,Slim Harpo,50,1997-11-04,0.693,0.454,10,-10.275,0,0.417,0.000315,0.156,0.914,112.214,183133,4
6tilCYbheGMHo3Hw4F22hF,Short Dressed Woman,Lafayette Leake,50,1978,0.767,0.496,10,-11.399,1,0.237,0.0723,0.0853,0.751,110.932,252133,4
44s75M70lhq25s3CiW0pxq,Should I Wait,Luther Allison,49,2013-08-06,0.638,0.738,9,-9.563,1,0.0315,0.000634,0.211,0.816,104.098,304600,3
4qYHnP5AmKzXbJhciPV8si,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",62,1974-01-01,0.518,0.376,9,-18.248,0,0.933,0.86,0.0976,0.744,158.089,233560,4
6KSa2Y1HnG0XlPQfEN4Xgi,Reconsider Baby,Lowell Fulson,48,1997-01-01,0.636,0.668,0,-6.857,1,0.749,0.00121,0.0555,0.666,94.668,189133,4
6eIJfQX1WPU2iOFe1x605S,Now That I'm Down,Son Seals,0,1973,0.497,0.341,2,-13.635,1,0.475,7.47e-06,0.098,0.469,137.634,362400,3
3NWDb3bbMBTArBblzG4jMX,The Things That I Used To Do,Guitar Slim,47,1991-01-01,0.48,0.303,5,-13.675,1,0.812,0.0,0.0889,0.643,98.282,180453,3
4lbqUtqgX3dITgYJMBjCDS,Ain't Got Nobody,Hound Dog Taylor,49,1982,0.536,0.723,8,-13.898,0,0.165,0.00812,0.288,0.916,126.737,210493,4
4sj8qFcEDnRPNv3tBbUVUf,Me and Mrs. Jones,Billy Paul,0,1972,0.303,0.555,0,-9.259,0,0.388,1.16e-06,0.468,0.447,67.322,285760,4
3WwEIvuYWaP68sA9t65Xaj,Always On My Mind,B.B. King,39,2003-01-01,0.329,0.392,5,-7.146,1,0.409,0.000323,0.108,0.353,53.622,235640,4
4DRYDmv572G53ciZV1ymm7,Easy - Single Version,Commodores,43,2019-08-16,0.55,0.47,10,-11.126,0,0.434,0.000982,0.224,0.364,133.183,258160,4
0n2pjCIMKwHSXoYfEbYMfX,You Are The Sunshine Of My Life,Stevie Wonder,72,1972-10-28,0.519,0.46,11,-14.53,1,0.823,5.97e-05,0.243,0.675,132.082,178200,4
7C8S9mnOF5ihNMiKuGiszK,Ain't No Mountain High Enough,Sheléa,38,2021-11-26,0.721,0.668,10,-6.202,0,0.0954,0.0,0.227,0.497,127.13,254044,4
5pztwVl6brVgqYjYQ93us6,Stand by Me,Seal,62,2008-10-31,0.736,0.439,9,-6.436,1,0.256,0.0,0.143,0.812,107.455,242813,4
6BruliDSsi3NDBVclN1YQ2,Who's Loving You,Jennie Lena,0,2018-10-12,0.299,0.487,7,-5.537,1,0.665,7.47e-05,0.146,0.391,165.573,201227,3
2kNUJ1NNlHUHPW4L852FwB,It's a Man's Man's Man's World,Seal,52,2009-11-27,0.597,0.482,1,-5.888,0,0.467,4.92e-05,0.153,0.435,81.056,231760,3
5N8ttZslGXlcNGMP2ACivh,I Put a Spell on You,IZA,52,2017-07-28,0.395,0.411,2,-5.116,0,0.281,0.00048,0.0701,0.546,191.524,220453,3
5rW3rxDbsmNGWJ367EPOO5,Ain't No Way,Jennifer Hudson,47,2021-08-13,0.517,0.401,3,-7.994,1,0.522,8.03e-05,0.0746,0.337,143.921,256312,3
1NSsyarQKQlR08XciXtSjN,If You Don't Know Me by Now,Seal,45,2008-10-31,0.553,0.471,2,-6.409,0,0.453,0.0,0.107,0.236,97.926,226907,3
2UUgBW7f0hwGle5x5wI7JU,I Never Loved A Man (The Way I Love You),Jennifer Hudson,41,2021-08-13,0.687,0.539,5,-6.866,1,0.314,0.000721,0.0955,0.307,136.543,236126,4
2gl9xaJ9lRWhjCHswPKLAx,I Need,Clark Beckham,39,2017-10-06,0.64,0.332,6,-7.165,0,0.131,9e-06,0.0855,0.409,116.409,298870,3
3SjAiqAQ6sMmsJBeVw0nMf,How Deep Is Your Love (feat. Yebba) - Live,Yebba,58,2018-03-09,0.424,0.484,11,-10.853,1,0.346,0.0,0.588,0.523,92.514,210133,4
7K8vOty2LqiYwLmBAdanEJ,If I Ain't Got You (feat. Arturo Sandoval) - Spanish Version,Arturo Sandoval,38,2004-02-17,0.579,0.331,7,-14.189,1,0.484,1.84e-05,0.0981,0.186,118.176,231960,3
7IQMKJNcppgahjNWVPmxkl,Give Me the Night - Edit,George Benson,59,1995-11-10,0.867,0.79,1,-5.424,1,0.343,0.0131,0.245,0.814,110.048,219560,4
4gRA0i5sxx3jAhHaVjPnUN,Use Me,Bill Withers,66,1972-05-01,0.758,0.586,11,-13.461,0,0.033,0.0028,0.0743,0.947,154.629,228327,4
1kPBT8S2wJFNAyBMnGVZgL,I'd Rather Go Blind,Etta James,72,1968-04-18,0.477,0.433,11,-6.473,0,0.689,0.000195,0.151,0.611,82.52,156653,3
4Hhv2vrOTy89HFRcjU3QOx,At Last,Etta James,77,1960,0.274,0.348,5,-8.631,1,0.547,0.0133,0.334,0.328,87.43,179693,3
3vFVS2WYHDG4KkWCNecvpn,Dream A Little Dream Of Me,Louis Armstrong,0,1996-06-04,0.455,0.167,0,-13.613,1,0.918,0.0,0.173,0.404,76.118,185067,4
5h1mm1R9Jy531CbvptILX7,Unforgettable,Nat King Cole,0,2000-01-01,0.286,0.31,2,-12.368,0,0.807,0.000128,0.0988,0.153,86.966,208640,4
1oDCK7PW72XEZ1pE5rh87A,Smile,Nat King Cole,67,1991-01-01,0.226,0.136,5,-19.203,0,0.862,8.07e-06,0.302,0.263,79.37,173267,5
79nJj5dMyTsUzKvN5jUXsJ,I Can't Stop Loving You,Ray Charles,64,2009-06-02,0.31,0.279,5,-13.552,1,0.815,0.0,0.318,0.377,79.397,256120,3
0lOvtFFc7pNq2TsCohTCZt,Georgia On My Mind,Ray Charles,0,2011-10-01,0.296,0.22,7,-13.096,1,0.851,0.0,0.153,0.212,116.916,215240,5
6Z5XZ8fjmWGbkdahOgreVe,What A Wonderful World,Louis Armstrong,0,2010-01-01,0.273,0.373,5,-9.989,1,0.848,0.000241,0.188,0.147,77.591,137467,4
5IIybI1oiOCY3DRUrpQ7zA,La vie en rose,Louis Armstrong,66,1990-09-06,0.584,0.0789,0,-12.905,1,0.884,0.00705,0.0876,0.319,70.886,206827,4
2htH7r8oqqEwp3BB6oh2cU,Come Rain or Come Shine,Ray Charles,58,1959,0.357,0.216,3,-12.833,1,0.767,4.31e-06,0.531,0.283,119.57,222733,4
6Rqn2GFlmvmV4w9Ala0I1e,Feeling Good,Nina Simone,76,1965-06-01,0.399,0.326,7,-9.239,0,0.864,0.0,0.191,0.546,79.206,174000,4
0sjxRg1VlYfx4YG7uxurrq,I Put A Spell On You,Nina Simone,69,1965-06-01,0.42,0.398,6,-9.13,0,0.755,0.000537,0.172,0.364,88.897,155027,3
5K09WxKdlkroDyEVyOSySy,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,71,1968-01-22,0.603,0.271,5,-10.083,1,0.679,0.0,0.141,0.405,110.89,165333,3
3BucMqBqIR5Aw7MrUkF00y,Ain't No Way,Aretha Franklin,52,2007-10-29,0.387,0.315,3,-9.477,1,0.798,0.000381,0.086,0.232,135.388,254400,3
3gsCAGsWr6pUm1Vy7CPPob,Killing Me Softly With His Song,Roberta Flack,74,1973-01-01,0.476,0.381,5,-10.238,0,0.727,0.0,0.0614,0.33,121.948,286920,4
7MF7QAodbGzNYav5ZfIhAY,Midnight Train to Georgia,Gladys Knight & The Pips,73,1973,0.595,0.379,10,-12.058,0,0.271,2.81e-05,0.1,0.448,92.006,279333,4
0KOE1hat4SIer491XKk4Pa,A Change Is Gonna Come,Sam Cooke,69,1964-03-01,0.212,0.383,10,-10.071,1,0.723,0.0,0.299,0.452,173.79,191160,3
6Ycf7Ch2VlEKlORbz7yfpJ,Sweet Love,Anita Baker,63,1986-03-20,0.504,0.728,10,-5.699,0,0.36,0.0,0.159,0.683,89.255,266201,4
0aei3EH5p7mzipPPAXxpzq,For Once in My Life,Michael Bublé,58,2003,0.551,0.493,10,-5.685,1,0.646,0.0,0.287,0.43,94.415,153533,4
0elmUoU7eMPwZX1Mw1MnQo,The Way You Look Tonight,Frank Sinatra,68,1964,0.622,0.24,5,-14.067,0,0.798,0.0,0.142,0.587,132.234,202160,4
1iZgzgmsFsi0deffe0rleB,Fly Me To The Moon (In Other Words),Count Basie,66,1964-08,0.612,0.197,5,-14.878,1,0.461,5.09e-06,0.0516,0.25,117.91,149640,4
3QnHWkNMY2mpy494Bis0ly,I Just Want To Make Love To You - Single Version,Etta James,65,1960,0.642,0.523,3,-8.579,1,0.772,3.26e-06,0.527,0.654,101.635,185627,4
5ZoDwIP1ntHwciLjydJ8X2,My Cherie Amour,Stevie Wonder,66,1969-08-01,0.574,0.507,6,-11.343,1,0.228,4.57e-06,0.279,0.514,101.085,173307,4
4bBR6VDctTQkZay4j7hRTx,"Love, Love, Love",Donny Hathaway,37,2019-01-11,0.507,0.707,8,-7.775,1,0.689,0.0,0.161,0.634,94.766,202067,4
2gliw3L0oa4w8LqaHploje,Cruisin',Smokey Robinson,65,1979-05-22,0.498,0.63,6,-5.808,0,0.416,0.0,0.238,0.822,169.115,352920,4
0jHkgTtTaqg5LNCiYDQPUB,Let's Get It On,Marvin Gaye,62,1973-08-28,0.55,0.611,3,-10.657,1,0.0392,0.0,0.0631,0.626,168.512,290960,4
5DUmtVkrKFZfDoDgj2G7c9,Sexual Healing,Marvin Gaye,0,1982-10-01,0.805,0.597,0,-9.701,0,0.126,0.000214,0.0568,0.739,94.376,238600,4
042pmCix7CPth3l3X28jl1,Here and Now,Luther Vandross,56,1989,0.571,0.285,7,-14.453,1,0.528,0.0,0.0853,0.244,74.967,323000,4
